AÑO,DELITO,DEPTO2,total_delitos
2013,HOMICIDIO,CENTROS CARCELARIOS,3.0
2013,HOMICIDIO,INTERIOR,94.0
2013,HOMICIDIO,MONTEVIDEO,164.0
2013,HURTO,INTERIOR,50730.0
2013,HURTO,MONTEVIDEO,50723.0
2013,RAPIÑA,INTERIOR,3470.0
2013,RAPIÑA,MONTEVIDEO,14565.0
2013,VIOLENCIA DOMÉSTICA,INTERIOR,16193.0
2013,VIOLENCIA DOMÉSTICA,MONTEVIDEO,10095.0
2014,HOMICIDIO,CENTROS CARCELARIOS,11.0
2014,HOMICIDIO,INTERIOR,104.0
2014,HOMICIDIO,MONTEVIDEO,154.0
2014,HURTO,INTERIOR,57058.0
2014,HURTO,MONTEVIDEO,48944.0
2014,RAPIÑA,INTERIOR,3649.0
2014,RAPIÑA,MONTEVIDEO,16473.0
2014,VIOLENCIA DOMÉSTICA,INTERIOR,18797.0
2014,VIOLENCIA DOMÉSTICA,MONTEVIDEO,10590.0
2015,HOMICIDIO,CENTROS CARCELARIOS,9.0
2015,HOMICIDIO,INTERIOR,111.0
2015,HOMICIDIO,MONTEVIDEO,173.0
2015,HURTO,INTERIOR,62218.0
2015,HURTO,MONTEVIDEO,47150.0
2015,RAPIÑA,INTERIOR,3974.0
2015,RAPIÑA,MONTEVIDEO,17217.0
2015,VIOLENCIA DOMÉSTICA,INTERIOR,20468.0
2015,VIOLENCIA DOMÉSTICA,MONTEVIDEO,10900.0
2016,HOMICIDIO,CENTROS CARCELARIOS,16.0
2016,HOMICIDIO,INTERIOR,105.0
2016,HOMICIDIO,MONTEVIDEO,147.0
2016,HURTO,INTERIOR,65777.0
2016,HURTO,MONTEVIDEO,49258.0
2016,RAPIÑA,INTERIOR,4008.0
2016,RAPIÑA,MONTEVIDEO,16370.0
2016,VIOLENCIA DOMÉSTICA,INTERIOR,20092.0
2016,VIOLENCIA DOMÉSTICA,MONTEVIDEO,10367.0
2017,HOMICIDIO,CENTROS CARCELARIOS,18.0
2017,HOMICIDIO,INTERIOR,107.0
2017,HOMICIDIO,MONTEVIDEO,160.0
2017,HURTO,INTERIOR,66577.0
2017,HURTO,MONTEVIDEO,49101.0
2017,RAPIÑA,INTERIOR,3764.0
2017,RAPIÑA,MONTEVIDEO,15684.0
2017,VIOLENCIA DOMÉSTICA,INTERIOR,23394.0
2017,VIOLENCIA DOMÉSTICA,MONTEVIDEO,12278.0
2018,HOMICIDIO,CENTROS CARCELARIOS,19.0
2018,HOMICIDIO,INTERIOR,177.0
2018,HOMICIDIO,MONTEVIDEO,224.0
2018,HURTO,INTERIOR,81112.0
2018,HURTO,MONTEVIDEO,64861.0
2018,RAPIÑA,INTERIOR,6408.0
2018,RAPIÑA,MONTEVIDEO,23477.0
2018,VIOLENCIA DOMÉSTICA,INTERIOR,24183.0
2018,VIOLENCIA DOMÉSTICA,MONTEVIDEO,12763.0
2019,HOMICIDIO,CENTROS CARCELARIOS,20.0
2019,HOMICIDIO,INTERIOR,157.0
2019,HOMICIDIO,MONTEVIDEO,216.0
2019,HURTO,INTERIOR,76044.0
2019,HURTO,MONTEVIDEO,63981.0
2019,RAPIÑA,INTERIOR,6332.0
2019,RAPIÑA,MONTEVIDEO,24306.0
2019,VIOLENCIA DOMÉSTICA,INTERIOR,23733.0
2019,VIOLENCIA DOMÉSTICA,MONTEVIDEO,13326.0
2020,HOMICIDIO,CENTROS CARCELARIOS,18.0
2020,HOMICIDIO,INTERIOR,151.0
2020,HOMICIDIO,MONTEVIDEO,172.0
2020,HURTO,INTERIOR,60068.0
2020,HURTO,MONTEVIDEO,58696.0
2020,RAPIÑA,INTERIOR,5182.0
2020,RAPIÑA,MONTEVIDEO,23573.0
2020,VIOLENCIA DOMÉSTICA,INTERIOR,23411.0
2020,VIOLENCIA DOMÉSTICA,MONTEVIDEO,13012.0
2021,HOMICIDIO,CENTROS CARCELARIOS,20.0
2021,HOMICIDIO,INTERIOR,112.0
2021,HOMICIDIO,MONTEVIDEO,174.0
2021,HURTO,INTERIOR,53104.0
2021,HURTO,MONTEVIDEO,59588.0
2021,RAPIÑA,INTERIOR,4351.0
2021,RAPIÑA,MONTEVIDEO,20538.0
2021,VIOLENCIA DOMÉSTICA,INTERIOR,23836.0
2021,VIOLENCIA DOMÉSTICA,MONTEVIDEO,13030.0
2022,HOMICIDIO,CENTROS CARCELARIOS,13.0
2022,HOMICIDIO,INTERIOR,154.0
2022,HOMICIDIO,MONTEVIDEO,216.0
2022,HURTO,INTERIOR,56287.0
2022,HURTO,MONTEVIDEO,59634.0
2022,RAPIÑA,INTERIOR,4301.0
2022,RAPIÑA,MONTEVIDEO,19126.0
2022,VIOLENCIA DOMÉSTICA,INTERIOR,25368.0
2022,VIOLENCIA DOMÉSTICA,MONTEVIDEO,13144.0
2023,HOMICIDIO,CENTROS CARCELARIOS,19.0
2023,HOMICIDIO,INTERIOR,154.0
2023,HOMICIDIO,MONTEVIDEO,208.0
2023,HURTO,INTERIOR,57339.0
2023,HURTO,MONTEVIDEO,57023.0
2023,RAPIÑA,INTERIOR,4062.0
2023,RAPIÑA,MONTEVIDEO,18349.0
2023,VIOLENCIA DOMÉSTICA,INTERIOR,26634.0
2023,VIOLENCIA DOMÉSTICA,MONTEVIDEO,13658.0
2024,HOMICIDIO,CENTROS CARCELARIOS,5.0
2024,HOMICIDIO,INTERIOR,64.0
2024,HOMICIDIO,MONTEVIDEO,111.0
2024,HURTO,INTERIOR,27494.0
2024,HURTO,MONTEVIDEO,27596.0
2024,RAPIÑA,INTERIOR,1745.0
2024,RAPIÑA,MONTEVIDEO,7769.0
2024,VIOLENCIA DOMÉSTICA,INTERIOR,13515.0
2024,VIOLENCIA DOMÉSTICA,MONTEVIDEO,6409.0
